Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
ASL G 1214,"Archivio di Stato di Livorno, Governo (protocolli, repertori, indici 1765-1808): A-K",,,"263, 453",,,,,,,,,
ASL G 1215,"Archivio di Stato di Livorno, Governo (protocolli, repertori, indici 1765-1808): A-K",,"757.1, 757.2, 757.3, 757.4","1227.1, 1227.2",,,,,,,,,
ASL G 1216,"Archivio di Stato di Livorno, Governo (protocolli, repertori, indici 1765-1808): A-K",,,1674,,,,,,,,,
ASL G 1217,"Archivio di Stato di Livorno, Governo (protocolli, repertori, indici 1765-1808): A-K",,,"2072.1, 2072.2",,,,,,,,,
ASLU MS,"Archivio di Stato di Lucca, Magistrato de' Segretari",,,,,,,,,,,,
ASLU OR 13,"Archivio di Stato di Lucca, Offizi sui Ricevimenti di Principi, ... 1606-1796",,,,,,,,,,,,
ASLU OR 14,"Archivio di Stato di Lucca, Offizi sui Ricevimenti di Principi, ... repertorio",,,,,,,,,,,,
ASM PE 53,"Archivio di Stato di Milano, Potenze estere: Inghilterra 1768-1846",,,,,,,,,,,,
ASN E 673,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese
a Napoli 1789-90",,,"1341, 1626,1834, 2619, 4534, 4534.1",,,,,,,,,
ASN E 674,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1795-7",,"2651, 3236, 4800","1171, 1942, 2019, 2200, 4683.1, 4683.2, 4870, 5166",,,,,,,,,
ASN E 679,"Archivio di Stato di Napoli, Ministro Affari Esteri, Ministri esteri-Inghilterra
1764-6",,,,,,,,,,,,
ASN E 681,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",,,,,,,,,,,,
ASN E 682,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",,,"485, 3284, 4255, 4467",,,,,,,,,
ASN E 683,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",,"3666, 4020, 5251","755, 3327, 4261",,,,,,,,,
ASN E 684,"Archivio di Stato di Napoli, Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",,"3666, 4020",755,,,,,,,,,
ASN CRA 1257,"Archivio di Stato di Napoli, Casa Reale Antica, Passaporti 1752-4",,"4092, 4536, 4646","78, 203, 369, 427, 589, 893, 1114, 1314, 1512, 1559, 1668, 1900, 1950, 2108, 2260, 2706, 2718, 2837.1, 2837.2, 2880, 3061, 3126, 3209, 3560, 4114, 4449, 4631, 4645.1, 4645.2, 4937, ",,,,,,,,,
ASN CRA 1258        ,"Archivio di Stato di Napoli, Casa Reale Antica, Passaporti 1762-6",,,3826,,,,,,,,,
ASN CRA 1259        ,"Archivio di Stato di Napoli, Casa Reale Antica, Passaporti 1771-4",,"2556, 4235, 5063","96, 258, 523, 538, 628, 1008, 1147, 1190, 1699, 1808, 1998, 2230, 2494, 2593, 3659, 3689, 3926, 4430, 4939, 5101, 5148",,,,,,,,,
ASN CRA 1277       ,"Archivio di Stato di Napoli, Casa Reale Antica, Passaporti 1761-6",,,"296, 3445, 3750, 3865, 4749, 4755, ",,,,,,,,,
ASR ABA 4,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6,  Scavi Roma 1756-68",,,,,,,,,,,,
