Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"Archivio di Stato di Napoli, Ministro Affari Esteri, Ministri esteri-Inghilterra
1764-6",ASN E 679,ASN E 679,,7,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 681,,1,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 682,,16,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 683,,15,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 684,,13,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1752-4,ASN CRA 1257,ASN CRA 1257,,74,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1762-6,ASN CRA 1258        ,ASN CRA 1258        ,,5,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1771-4,ASN CRA 1259        ,ASN CRA 1259        ,,63,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1761-6,ASN CRA 1277       ,ASN CRA 1277       ,,44,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Scavi Roma 1756-68",ASR ABA 4,ASR ABA 4,,N.A.,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 11,,18,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 12,,10,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 13,,7,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 14,,3,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 15,,0,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 16,,0,
"Archivio di Stato di Roma; Civitavecchia, Atti del Consolato del Mare MSS 1747-54",ASR C 1022,ASR C 1022,,N.A.,
"Archivio di Stato di Roma; Civitavecchia, Atti del Consolato del Mare MSS 1768-76",ASR C 1023-5,ASR C 1023,,N.A.,
"Archivio di Stato di Roma; Civitavecchia, Atti del Consolato del Mare MSS 1768-76",ASR C 1023-5,ASR C 1024,,N.A.,
"Archivio di Stato di Roma; Civitavecchia, Atti del Consolato del Mare MSS 1768-76",ASR C 1023-5,ASR C 1025,,N.A.,
"Archivio di Stato di Roma; camerale II, Consolati; Ancona 1770-94",ASR CO iv,ASR CO iv,,N.A.,
"Archivio di Stato di Roma; camerale II, Consolati; Civitavecchia 1770-94",ASR CO v,ASR CO v,,1,
"Archivio di Stato di Roma; camerale III, Teatri, Feste religiosi",ASR TF,ASR TF,,N.A.,
"William Assheton, 'List of People seen since leaving England 18th June 1783'; priv.coll.",Assheton list MSS,Assheton list MSS,,24,
"Archivio di Stato di Torino (sez.1); Istruzione pubblica, Accademia reale (mazz.1)",AST AR,AST AR,,2,
