,entryID,travelerNames,gender,dates,events,origin,travels,birthDate,deathDate,occ_events,edu_events
11,23.0,Robert Adam,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
48,118.0,Whaley Armitage,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
156,509.0,James Boswell,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
168,543.0,"Gustavus Hamilton, 2nd Viscount Boyne",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
173,556.0,Rev. Thomas Brand,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,5,1
180,587.0,"Frederick Augustus Hervey, 4th Earl of Bristol",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,4,2
208,654.0,"Charles Brudenell-Bruce, Lord Bruce",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
301,960.0,Edward Daniel Clarke,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
310,982.0,Dr John Clephane,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
321,1032.0,Thomas Coke,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
462,1468.0,Francis Drake,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
526,1660.0,Sir William Farington,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
550,1750.0,John Flaxman,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
581,1891.0,Joseph Michael Gandy,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
654,2121.0,"Thomas Egerton, Baron Grey de Wilton",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
711,2379.0,Capt. Hon. Augustus John Hervey,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
743,2468.0,Edward Holdsworth,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,3
749,2488.0,Patrick Home,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
854,2967.0,Rev. Jonathan Lipyeatt,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
941,3305.0,"Charles Sackville, Earl of Middlesex",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
990,3481.0,Edward Murphy,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
1010,3552.0,"Sir Roger, 5th Bt. Newdigate",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
1038,3623.0,"George Simon Harcourt, Viscount Nuneham",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1065,3717.0,"Henry Temple, 2nd Viscount Palmerston",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1068,3730.0,Hon. George Parker,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
1082,3793.0,Hon. Thomas Pelham,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,2
1084,3799.0,"Henry Herbert, 10th Earl of Pembroke",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1090,3812.0,Lucas Pepys,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
1096,3832.0,"Charles Mordaunt, 3rd Earl of Peterborough",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,6,2
1099,3844.0,Richard Phelps,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
1120,3914.0,Richard Pococke,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,6,1
1153,4027.0,Allan Ramsay,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1158,4040.0,Richard Rawlinson,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,3
1160,4063.0,Willey Reveley,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1163,4067.0,Joshua Reynolds,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
1199,4200.0,"George Ashburnham, Viscount St Asaph",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
1205,4212.0,Col. Hon. Henry St John,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
1270,4447.0,John Soane,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,4,1
1275,4469.0,Joseph Spence,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,4,1
1322,4657.0,Owen Swiney,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
1351,4804.0,Charles Townley,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1355,4812.0,Rev. Thomas Townson,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,4,2
1441,5102.0,William Whitehead,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
1472,5221.0,"Sir Richard, 7th Bt. Worsley",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,5,2
1484,5250.0,Henry Penruddocke Wyndham,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
0,0.0,Charles Abbot,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,4
9,19.0,Dr Robert Adair,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
13,29.0,Joseph Addison,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
18,52.0,David Allan,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
26,72.0,William Pitt Amherst,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
30,81.0,Francis Andrews,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
31,86.0,"William Johnston, 1st Marquess of Annandale",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
34,91.0,Thomas Anson,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
45,112.0,William Arden,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
49,120.0,Dr John Armstrong,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
52,134.0,Edward Ash,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
55,154.0,Joseph Atwell,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,6,1
62,180.0,William Bagot,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
67,201.0,Blayney Townley Balfour,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
71,218.0,Charles Warwick Bampfylde,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
72,220.0,Henry Bankes,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
79,250.0,"William Harry Vane, Viscount Barnard",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
84,261.0,"William Wildman, 2nd Viscount Barrington",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
97,313.0,"Francis Seymour Conway, Viscount Beauchamp",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,5,2
105,329.0,"Sir George Howland, 7th Bt. Beaumont",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
107,332.0,Peter Beckford,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
114,367.0,Lord George Bentinck,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
117,378.0,George Berkeley,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
120,381.0,Norborne Berkeley,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
128,415.0,James Bindley,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
137,447.0,Sir Charles Blagden,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
140,458.0,Dr Wilkinson Blanshard,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
144,475.0,Henry Blundell,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
147,489.0,Charles Booth,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
150,495.0,"John Parker, 2nd Baron Boringdon",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
167,541.0,"Henry Boyle, Viscount Boyle",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
170,553.0,Thomas Brand,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
171,554.0,Thomas Brand,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
177,568.0,John Durant Breval,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
179,573.0,"Sir Brook, 3rd Bt. Bridges",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
196,626.0,Brown,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
209,656.0,James Bruce,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
210,659.0,"Thomas Bruce-Brudenell, Baron Bruce",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
212,664.0,"John Montagu, Lord Brudenell",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
214,679.0,"Edmund Sheffield, 2nd Duke of Buckingham",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
216,685.0,"Sir John, 2nd Bt. Buckworth",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
217,687.0,"Richard Bulkeley, 5th Viscount Bulkeley",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
218,688.0,"Thomas James Bulkeley, 7th Viscount Bulkeley",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
219,694.0,Thomas Charles Bunbury,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
220,695.0,Samuel Bunce,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
221,698.0,Francis Burdett,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
222,699.0,Rowland Burdon,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
223,700.0,"Charles Beauclerk, Earl of Burford",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
225,703.0,James Bland Burges,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,4
236,725.0,"John Stuart, 3rd Earl of Bute",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
237,727.0,Alban Butler,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
238,728.0,Hon. Brinsley Butler,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
251,782.0,Col. John Campbell,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
255,801.0,"Frederick Howard, 5th Earl of Carlisle",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
256,803.0,"Henry Howard, 4th Earl of Carlisle",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
257,805.0,Joseph Dacre Carlyle,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
258,806.0,"Francis Godolphin Osborne, Marquess of Carmarthen",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
262,811.0,"Sir David, 4th Bt. Carnegie",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
264,825.0,Fr. John Carroll,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
269,857.0,Lord Charles Cavendish,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
274,863.0,Lord Richard Cavendish,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
275,867.0,Charles Cecil,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
278,880.0,Rev. George Chamberlayne,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
285,895.0,Leonard Chappelow,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
305,969.0,Capt. Henry Mordaunt Clavering,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
314,1005.0,"Edward Clive, 2nd Baron Clive",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
315,1006.0,"Robert Clive, 1st Baron Clive",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,6,1
320,1027.0,Edward Coke,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
322,1033.0,Thomas William Coke,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
328,1044.0,"Henry Hare, 3rd Baron Coleraine",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
333,1063.0,Charles Collyer,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
334,1064.0,Francis Colman,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
335,1070.0,Hon. Charles Compton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
337,1074.0,Lord James Compton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
341,1090.0,Hon. Edward Seymour Conway,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
344,1094.0,Hon. Henry Seymour Conway,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
356,1134.0,"John Boyle, 5th Earl of Cork and Orrery",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
358,1144.0,John Cotes,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
359,1151.0,John Hynde Cotton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
371,1179.0,George Craster,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
376,1191.0,John Crawley,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
379,1207.0,John Crewe,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
384,1219.0,Benjamin Crowe,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
389,1234.0,George Cumberland,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
392,1240.0,Alexander Cunningham,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
403,1272.0,"John Dalrymple, Viscount Dalrymple",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
407,1281.0,Hon. George Damer,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
408,1282.0,Hon. John Damer,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
415,1302.0,"Sir Francis, 2nd Bt. Dashwood",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
417,1305.0,Henry Watkin Dashwood,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
423,1332.0,James Dawkins,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
424,1333.0,James Dawkins,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
426,1336.0,Hon. John Dawnay,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
432,1353.0,Thomas de Grey,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
436,1374.0,Louis Devisme,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
451,1421.0,George Bubb Dodington,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
464,1471.0,Montague Garrard Drake,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
465,1473.0,William Drake,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
467,1475.0,William Drake,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
479,1509.0,"Frederick Ponsonby, Viscount Duncannon",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
482,1516.0,Thomas Dundas,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
486,1531.0,Rev. Richard Durnford,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
488,1539.0,John Dyer,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,2
493,1561.0,Hon. Richard Edgcumbe,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
501,1584.0,"David Wemyss, Lord Elcho",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
504,1591.0,"Sir Gilbert, 4th Bt. Elliot",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,7,4
515,1627.0,"Sir Henry, 5th Bt. Erskine",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
518,1636.0,"George Fitzroy, Earl of Euston",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
520,1644.0,"Brownlow Cecil, 9th Earl of Exeter",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
522,1652.0,Robert Fagan,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
533,1689.0,Adam Ferguson,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
534,1692.0,Adam Fergusson,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
539,1713.0,"Daniel Finch, Lord Finch",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
546,1738.0,William Fitzherbert,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
548,1745.0,"Richard Fitzwilliam, 7th Viscount Fitzwilliam",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
562,1814.0,Sir Andrew Fountaine,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
563,1816.0,Hon. Charles James Fox,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
564,1819.0,Stephen Fox,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
565,1820.0,Hon. Stephen Fox,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
567,1828.0,Philip Francis,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
571,1839.0,Charles Frederick,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
572,1841.0,John Frederick,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
573,1847.0,Sambrooke Freeman,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
576,1866.0,William Fullarton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,6,2
582,1893.0,"Francis Garden, Lord Gardenstone",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
583,1896.0,Luke Gardiner,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
595,1935.0,Edward Gibbon,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
600,1958.0,John Gillies,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
610,2014.0,Pryse Lockhart Gordon,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
623,2042.0,"Augustus Henry Fitzroy, 3rd Duke of Grafton",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,2
625,2045.0,"Sir James, 1st Bt. Graham",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
627,2051.0,Thomas Graham,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
629,2057.0,"George Mason-Villiers, 2nd Earl Grandison",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
630,2060.0,James Grant,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
631,2061.0,James Grant,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
634,2079.0,"Sir James, 2nd Bt. Gray",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,6,1
636,2082.0,Robert Gray,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
637,2083.0,Thomas Gray,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
643,2103.0,George Grenville,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,2
647,2110.0,Hon. Charles Francis Greville,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
652,2116.0,"George Harry Grey, Lord Grey",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
655,2128.0,Hon. James Bucknall Grimston,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
663,2149.0,William Guise,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
664,2152.0,Rev. William Gunn,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
665,2188.0,"Sir James, 4th Bt. Hall",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
667,2202.0,Hon. Charles Hamilton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
668,2203.0,"Douglas Hamilton, 8th Duke of Hamilton",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
671,2211.0,"James Hamilton, 5th Duke of Hamilton",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
673,2219.0,Sir William Hamilton,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,5,1
677,2236.0,"Thomas Hampden, 2nd Viscount Hampden",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
681,2249.0,"Simon Harcourt, 2nd Viscount Harcourt",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
689,2287.0,Walter Harte,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
704,2357.0,Joseph Henry,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
706,2363.0,"George Augustus Herbert, Lord Herbert",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,5,1
707,2365.0,"Henry Herbert, Lord Herbert",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
714,2385.0,Hon. Frederick William Hervey,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
716,2387.0,"John Hervey, Lord Hervey",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
718,2390.0,Col. Hon. William Hervey,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
725,2420.0,Rev. Brian Hill,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
727,2425.0,"Sir Richard, 2nd Bt. Hill",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
728,2426.0,Samuel Hill,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,3
733,2434.0,John Hinchliffe,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,5,1
734,2437.0,John Coxe Hippisley,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,3
740,2452.0,Benjamin Hobhouse,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
746,2471.0,"Henry Fox, 1st Baron Holland",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
753,2513.0,Hon. Charles Hope-Weir,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
758,2531.0,William Hotham,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
761,2544.0,Ralph Howard,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
764,2574.0,"Sir Abraham, 2nd Bt. Hume",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
765,2579.0,Ozias Humphry,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,2
766,2589.0,"George Hastings, 8th Earl of Huntingdon",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
778,2643.0,Thomas Jackson,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
789,2692.0,Capt. John Jervis,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
791,2695.0,Richard Paul Jodrell,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,3
794,2722.0,Rev. Richard Kaye,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
795,2724.0,George Keate,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
797,2733.0,James Francis Edward ['Marshal'] Keith,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,3,1
800,2751.0,Rev. Basil Kennett,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,4,1
805,2764.0,Thomas Kerrich,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
806,2766.0,"William Fitzgerald, Marquess of Kildare",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
807,2771.0,"William Livingston, 3rd Viscount Kilsyth",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
808,2773.0,Hon. John King,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
810,2781.0,"Evelyn Pierrepont, 2nd Duke of Kingston",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,1
815,2799.0,"Sir Wyndham, 6th Bt. Knatchbull-Wyndham",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
835,2886.0,Joseph Leeson,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,1,1
843,2935.0,Lord Granville Leveson-Gower,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,8,1
846,2946.0,"George Legge, Viscount Lewisham",Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,2
847,2947.0,Hugh Leycester,Male,birth & death dates,occupation & education data,from original Dictionary,6-25 visits,1,1,2,3
