index	education	from	to	degree	degreeDate	teacher	institution	place
322	Trin. Oxf.	1757					Trinity College, Oxford	Oxford
325	Westminster						Westminster School	Westminster, London
325	Univ. Coll. Oxf.	1720					University College, Oxford	Oxford
326	Edinburgh U.	1770					Edinburgh University	Edinburgh
327	Edinburgh U.						Edinburgh University	Edinburgh
329	Eton						Eton College School	Eton
329	New Coll. Oxf.						New College, Oxford	Oxford
330	Univ. Coll. Oxf.	1777					University College, Oxford	Oxford
332	Westminster						Westminster School	Westminster, London
332	New Coll. Oxf.	1757					New College, Oxford	Oxford
335	Leipzig U.	1751					Leipzig University	Leipzig
335	Westminster						Westminster School	Westminster, London
335	Trin. Oxf.						Trinity College, Oxford	Oxford
335	L.Inn						Lincoln's Inn	London
338	Westminster						Westminster School	Westminster, London
342	Sorbonne			DD			Collège de Sorbonne, Paris	Sorbonne
347	Westminster						Westminster School	Westminster, London
347	Harrow						Harrow School	London
347	Trin. Camb.	1783					Trinity College, Cambridge	Cambridge
362	Ch.Ch. Oxf.	1706					Church Christ College, Oxford	Oxford
367	Eton						Eton College School	Eton
368	Leiden U.						Leiden University	Leiden
370	Trin. Camb.						Trinity College, Cambridge	Cambridge
370				LLD	1724			
370	Trin. Camb.			MA	1715		Trinity College, Cambridge	Cambridge
375				DD	1776			
378				DD	1721			
380	Eton						Eton College School	Eton
380	Ch.Ch. Oxf.	1713					Church Christ College, Oxford	Oxford
381	Westminster						Westminster School	Westminster, London
389				BA	1702			
390	Ch.Ch. Oxf.	1785					Church Christ College, Oxford	Oxford
396	Magd. Oxf.	1734					Magdalene College, Oxford	Oxford
397	Westminster						Westminster School	Westminster, London
398	Corpus Oxf.	1707					Corpus Christi College, Oxford	Oxford
403	Jesus Camb.	1789					Jesus College, Cambridge	Cambridge
411	Ch.Ch. Oxf.	1757					Church Christ College, Oxford	Oxford
415	Peterhouse Camb.						Peterhouse College, Cambridge	Cambridge
423	Flanders	1678						Flanders
423	Rome	1689						Rome
434				DCL	1810			
447	Edinburgh U.			MD	1768		Edinburgh University	Edinburgh
448	Trin. Camb.	1769					Trinity College, Cambridge	Cambridge
458	Queens' Camb.	1751					Queen's College, Cambridge	Cambridge
458				MD	1761			
463	New Coll. Oxf.	1737					New College, Oxford	Oxford
465	Westminster						Westminster School	Westminster, London
465	Merton Oxf.	1735					Merton College, Oxford	Oxford
468	Emmanuel Camb.	1759					Emmanuel College, Cambridge	Cambridge
468	G.Inn	1762					Gray's Inn	London
475	St Omer College						St Omer College School	St Omer
475	Douai						Douai College	Douai
478	Emmanuel Camb.	1752					Emmanuel College, Cambridge	Cambridge
480	Eton						Eton College School	Eton
487	Eton						Eton College School	Eton
487	Clare Camb.	1728					Clare College, Cambridge	Cambridge
487	Trin. Camb.	1729					Trinity College, Cambridge	Cambridge
487	I.Temple	1727					Inner Temple	London
490	St John's Camb.	1761					St John's College, Cambridge	Cambridge
495	Ch.Ch. Oxf.	1789					Church Christ College, Oxford	Oxford
498	Leiden U.	1737					Leiden University	Leiden
498	Westminster						Westminster School	Westminster, London
498	Trin. Camb.	1726					Trinity College, Cambridge	Cambridge
