index	sequence	spouse	year	relative
808	1	Elizabeth Shovell	1732	
808	2	Jean Vigor	1756	
809	1	Janet Grant	1749	
811	1	Agnes Murray Elliot	1783	
816	1	Elizabeth Petty	1722	
817	1	Col. Robert Cheney	1798	
818	1	Elizabeth Cotesworth		
819	1	Hannah Ellison	1802	
832	1	Miss Wells	1793	
834	1	Jane Butler	1734	
834	2	Sarah Inwen	1752	
836	1	Hon. Dorothy Molyneux	1738	
836	2	Mary Scarisbrick		
852	1	7th Ld. Napier[S]	1754	
854	1	Mary Collinson	1753	
857	1	Ldy. Anne Grey	1727	
860	1	Ldy. Elizabeth Compton	1782	
865	1	Isabella Seton of Parbroarth	1763	
881	1	Catherine More	1753	
884	1	Louisa Buller	1806	
889	1	Benigna Dorrien	1785	
897	1	Mary Hickman	1768	
898	1	Ps. Louise of Stolberg-Gedern (1752-1824	1772	
913	1	Anne Woollaston	1686	
913	2	Frances	1714	
914	1	Anne Thistlewaite	1777	
914	2	Ldy. Henrietta Thynne	1799	
918	1	Esther	1716	
920	1	Honora Baker	1715	
922	1	Ldy. Elizabeth Waldegrave	1782	his cos.
928	1	Ldy. Mary Walpole	1723	
929	1	Ldy. Georgiana Bertie	1791	
930	1	Marcia Pitt	1790	
930	2	Catherine Francis	1814	
930	3	Hon. Mary Townshend	1825	
934	1	Ldy. Mary Walpole	1746	
938	1	Conte Cicciaporci	1783	
947	1	Louisa Skrine	1777	
948	1	Sir Thomas Clarges	1777	
960	1	Angelica Rush	1816	
966	1	Ann Pedder of Kendal	1798	
969	1	Ldy. Augusta Campbell	1788	
975	1	Jane Wilson		
981	1	Ldy. Elizabeth Skeffington	1765	
996	1	Hon. Apollonia Langdale	1780	
999	1	Charlotte Livingstone	1713	
1005	1	Ldy. Henrietta Antonia Herbert	1784	
1006	1	Margaret Maskelyne	1753	
1022	1	Anne Acton of Fulham	1736	
1027	1	Ldy. Mary Campbell	1747	
1030	1	Edward	1747	
1031	1	Ldy. Jane Wharton	1733	
1032	1	Ldy. Margaret Tufton	1718	
1033	1	Jane Dutton of Loughcrew	1775	
1033	2	Ldy. Anne Amelia Keppel	1822	
1036	1	Ldy. Charlotte Paget	1805	
1037	1	Anne Lowry	1763	
1040	1	Hon. Henrietta Powlett	1741	
1040	2	Anne Thresher	1756	
1044	1	Anne Hanger	1718	
1968	1	Maria Walpole	1766	
1069	1	Charlotte Hadfield	1814	
1070	1	Mary Lucy	1727	
1072	1	Ld. George Cavendish	1782	
1073	1	Frances Payne	1748	
1074	1	Elizabeth Shirley	1716	
1080	1	Ldy. Louisa Lennox	1758	
1081	1	Ldy. Anne Wentworth	1733	
1085	1	Theresa Apollonia Wakeham		
1086	1	Catherine Langdale	1775	
1088	1	Clara-Louisa Grace		
1091	1	Ldy. Isabella Fitzroy	1741	
1093	1	Isabella Hamilton	1795	
1094	1	Ldy. Caroline Campbell	1747	
1095	1	Hannah Warner		
1095	2	Ldy. Henrietta Fermor	1747	
1103	1	Priscilla Squire		
1112	1	Ann Lind	1738	
1123	1	Susanna Clarke	1769	
1129	1	Hester Salusbury	1772	
1130	1	Emma Elizabeth Leighton	1774	
1130	2	Anne Pigott	1806	
1132	1	Mary Lloyd	1740	
1134	1	Ldy. Henrietta Hamilton	1728	
1134	2	Margaret Hamilton	1738	
1137	1	Jane Naper	1815	
1144	1	Hon. Lucy Courtenay	1777	
1144	2	Ldy. Maria Grey	1794	
1145	1			
1151	1	Anne Parsons	1745	
1152	1	Frances Stapleton	1767	
1157	1		1765	
1159	1	Hon. Catherine Southwell	1790	
1160	1	Mary Peagrim	1755	
1161	1	Susan Starkie	1763	
1161	2	Harriet Mellon	1815	
1164	1	Hannah Anne Gore	1775	
1167	1	Ldy. Henrietta Nassau	1732	
1167	2	Ldy. Georgiana Carteret	1750	
1170	1	Eleonora Shairp	1803	
1174	1	Anne Hurlock and took name of Cradock-Hartopp	1777	
1178	1	Sophia Brown	before 1749	
1179	1	Olive Sharp	1757	
1184	1	William Craven	1767	
1184	2	Christian	1791	
1185	1	Anne Tylney	1721	
1187	1	Ldy. Jean Murray	1747	
1191	1	Susannah Sambrooke	1740	
1197	1	James Stuart Wortley-Mackenzie	1799	
1202	1	Sarah Cocksedge	1762	
1202	2	Clarissa Brooke	1774	
1202	3	Dorothy Scott	1783	
1207	1	Frances Greville	1766	
1215	1	a rich widow'	1785	
1217	1	Mary Godfrey	1746	
1220	1	Ldy. Charlotte Lee	1715	
1233	1	Anne Blagrave		
1235	1	Ldy. Anne Luttrell	1771	
1236	1	Helen Grant	1773	
1245	1	Janet Dick of Clermiston	1736	
1245	2	Mary Butler	1762	
1248	1	Frances Myreton	1768	
1248	2	Maria Udny	1785	
1263	1	Hon. Harriet Catherine Townshend	1795	
1264	1	Ldy. Jean Douglas	1720	
1264	2	Alice Powell	1744	
1266	1	Harriet Anne Jefferies	1800	
1269	1	Margaret Sainthill	1743	
1269	2	Martha Edwin	1756	
1270	1	Ldy. Christian Hamilton	1725	
1271	1	Ldy. Eleanor Campbell	1714	
1273	1	Marianne Dorothy Harland	1783	
1276	1	Esther de Heulle [Hull]	1764	
1277	1	Frances Mostyn		
1279	1	Hon. John Damer	1767	
1282	1	Anne Seymour Conway	1767	
1283	1	Ldy. Caroline Sackville	1742	
1284	1	Williamsa Janssen	1778	
1285	1		1746	
1286	1	Caroline Seymour	1775	
1286	2	Anne Holwell		
1288	1	Harriett Bisshopp	1783	
1294	1	Eliza -		
1296	1	Anne Blake		
1299	1	Elizabeth Brownlow	1791	
1300	1	Frances Nicoll	1755	
1302	1	Sarah Gould	1745	
1305	1	Helen Graham	1780	
1306	1	Elizabeth Spencer	1739	
1307	1	Anne Bateman	1744	
1308	1	Charlotte Auriol	1782	
1316	1	Elizabeth Hervey		
1333	1	Hannah Phipps	1785	
1333	2	Maria Forbes		
1336	1	Charlotte Louisa Pleydell	1724	
1337	1	Laura Burton	1763	
1339	1	Ldy. Caroline Stuart	1778	
1340	1	Ldy. Anne Fermor	1754	
1340	2	Philadelphia Freame	1770	
1342	1	Anna Mattei	1792	
1346	1	Eleanor Gamble	1761	
1347	1		1791	
1352	1	Elizabeth Windham	1707	
1353	1	Hon. Augusta Irby	1772	
1360	1	Louisa		
1361	1	Elizabeth Heidegger	1750	
1366	1	Selina Furnese	1755	
1366	2	Deborah Winchester	1765	
1370	1	Ldy. Anne Browne	1785	
1371	1	Ldy. Mary Murray	1749	
1375	1	5th D. of Devonshire	1774	
1377	1	Ldy. Georgiana Spencer	1774	
1377	2	Ldy. Elizabeth Hervey	1809	
1384	1	Anne Bragg	1740	
1386	1	Hon.Diana Manners Sutton	1778	
1398	1	Ldy. Mary O'Brien		
1400	1	Lucie	1769	
1400	2	Mary Françoise Laus de Girardin	1784	
1401	1	Hon. Henrietta Maria Phipps	1776	
1401	2	Marie Rogier	1787	
1402	1	Fanny Harland	1777	
1402	2	Emilie Pocquet de Pulhery		
1405	1	Elizabeth Thompson	1744	
1405	2	Esther Spencer	1760	
1408	1	Elizabeth Ffytche	1775	
1421	1	Katherine Beaghan [Behan]	1725	
1440	1	Arabella Diana Cope	1790	
1441	1	Elizabeth Colyear	1709	
1447	1	Agatha Halyburton	1731	
1447	2	Bridget Heathcote	1755	
1449	1	Ldy. Catherine Anne North	1789	
1454	1	Hon. Jean Gray	1763	
1457	1	Bridget Codrington	1747	
1460	1	Miss Scott		
1460	2	Maria Louisa Welstead	1815	
1463	1	Mary Forester	1700	his cos.
1469	1	Eliza-Anne Mackworth	1795	
1471	1	Isabella Marshall	1719	
1473	1	Elizabeth Raworth	1747	
1475	1	Mary Hussey	1778	
1475	2	Rachel Elizabeth Ives	1781	
1486	1	Ldy. Anne Elizabeth Middleton	1709	
1491	1	Harriet Anne Boone	1794	
1495	1	Anne Lyde	1710	
1508	1	Ldy. Mary Tufton	1763	
1509	1	Ldy. Henrietta Frances Spencer	1780	
1510	1	Frederick Ponsonby	1780	
1513	1	Ldy. Diana Howard	1749	
1513	2	Anne Clerke	1772	
1513	3	Charlotte Hale	1778	
1515	1	Harriot Hale	1794	
1516	1	Ldy. Charlotte Fitzwilliam	1764	
1521	1	4th E. of Dunmore [S]	1759	
1522	1	Elizabeth Baring	1780	
1530	1	Rev. Utrick Fetherstonhaugh	1753	
1531	1	Louisa Mount		
1539	1	Sarah Ensor	1738	
1544	1	Giles Earle	1761	
1545	1	Mary Mort		
1555	1	Catherine Wathen	1774	
1556	1	Anne Smith	1792	
1557	1	Ldy. Elizabeth Henley	1783	
1560	1	Emma Gilbert	1761	
1561	1	Ldy. Sophia Hobart	1789	
1572	1	Ldy. Charlotte Hamilton	1736	
1579	1	Maria Jackson	1795	
1580	1	Beatrix Copley		
1584	1	dau. of B. d'Uxhull	1776	
1585	1	Susan Tracy-Keck	1771	
1586	1	Martha White	1759	
1587	1	Mary Nisbet	1799	
1587	2	Elizabeth Oswald	1810	
1591	1	Anna Maria Amyand	1777	
1597	1	Anne Parker	1801	
1600	1	Elizabeth Stanhope	1747	
1600	2	Anne Stanley	1765	
1606	1	Margaret Chalmers		
1619	1	John Creighton [Crichton]	1776	
1620	1	Maria Hill	1769	
1623	1	Agatha Gigli		
1627	1	Janet Wedderburn	1761	
1630	1	Ldy. Jane Hyde	1718	
1630	2	Ldy. Elizabeth Russell	1726	
1631	1	Frances Hanbury Williams	1754	
1631	2	Harriet Bladen	1767	
1633	1	Hon. Jane Grimston	1774	
1636	1	Ldy. Dorothy Boyle	1741	
1643	1	Elizabeth Barnardiston	1743	
1644	1	Letitia Townshend	1748	
1644	2	Anne Maria Cheatham	1770	
1647	1	Sibylla Egerton	1740	
1648	1	Francis Eyre of Hassop	1755	
1655	1	Dorothy Molyneux	1704	
1655	2	Ldy. Laura Dillon		
1657	1	Susanna Marriott	1749	
1659	1	Althea Snelling	1753	
1673	1	Grace Warner	1742	
1677	1	Georgiana Poyntz	1784	
1681	1	Anne Palmer	1737	
1683	1	Urania Herbert	1725	
1684	1	Ann Berney	1776	
1689	1	Katherine Burnett	1766	
1695	1	Agnes Candida Orengo	1751	
1702	1	5th E. Ferrers	1760	
1703	1	2nd E. Ferrers	1704	
1704	1	Mary Ann Bullock	1825	
1705	1	Sarah Lethieullier	1746	
1706	1	Katherine Durnford	1753	
1709	1	Elizabeth Nagle	1758	
1713	1	Ldy. Frances Feilding	1729	
1713	2	Mary Palmer	1738	
1714	1	Elizabeth Palmer	1746	
1718	1	Christina Murray	1779	
1719	1	Mary Fitzgerald	1731	
1729	1	Dorothea Scrivenor	1787	
1730	1	Jane Connolly	1770	
1730	2	Miss Vaughan of Carrowmore		
1731	1	Charlotte Boyle	1791	
1732	1	Lucy Leslie		
1732	2	Catherine		
1732	3	Katherine Sandes		
1738	1	Sarah Perrin	1777	
1742	1	Elizabeth Cosby	1734	
1746	1	Ldy. Anne Watson-Wentworth	1744	
1747	1	Ldy. Charlotte Ponsonby	1770	
1747	2	Hon. Louisa Molesworth	1823	
1748	1	Miss Bouchier	1750	
1750	1	Nancy Denman	1782	
1751	1	Mrs Anne Bird	before 1706	
1757	1	Rebecca Darke	1791	
1757	2	Anna Morgell	1805	
1760	1	Lucretia Bradshaw	1714	
1765	1	Rebecca Norton	1713	
1765	2	Elizabeth Allen	1731	
1771	1	Ldy. Mary Capel	1758	
1772	1	Marion Nasmyth		
1773	1	Hugh Forbes		
1777	1	Elizabeth Hay	1770	
1800	1	Hon. Mary Pakenham	1770	
1803	1	Ldy. Mary Stewart	1741	
1804	1	Ldy. Caroline Stanhope	1765	
1804	2	Harriet Powell	after 1771	
1807	1	John Foster of Dunleer	1776	
1807	2	5th D. of Devonshire	1809	
1813	1	Agnes Grieve	1810	
1816	1	Elizabeth Armitstead	1795	
1819	1	Elizabeth Strangways-Horner	1736	
1820	1	Ldy. Mary Fitzpatrick	1766	
1828	1	Elizabeth Mackrabie	1762	
1828	2	Emma Watkins	1814	
1831	1	Elizabeth Baudouin (his bro's wid.)	after 1714	
1833	1	Diana Topham	1715	
1833	2	Sarah Moseley	1741	
1835	1	Grace Lockhart		
1839	1	Hon. Lucy Boscawen	1746	
1841	1	Susanna Hudson	1741	
1842	1	Hon Henrietta Maria Somerset		
1847	1	Sarah Winsford	1757	
1848	1	Elizabeth Strickland	1781	his cos.
1851	1	Anne Morice	1709	
1853	1	Elizabeth Wynne	1797	
1866	1	Hon. Marianne Mackay	1792	
1872	1	Anne Balam	1708	
1872	2	Ldy. Arabella Watson	1714	
1872	3	Ldy. Anne Shirley	1729	
1873	1	Sophia Rawlins	1787	
1876	1	Elizabeth Gideon	1757	
1887	1	Anne Mathew		
1887	2	Henrietta Fitzjames	1695	
1896	1	Elizabeth Montgomery	1773	
1896	2	Margaret Wallis	1793	
1897	1	Ann Bromhead	1759	
1898	1	Harriet Wrotesley	1777	
1905	1	Ldy. Anne Keith	1719	
1905	2	Ldy. Catherine Cochrane	1729	
1906	1	Ldy. Charlotte Greville	1762	
1906	2	Anne Dashwood	1764	
1909	1	Eva Maria Veigel	1749	
1911	1	Sarah Jane Chalié	1794	
1913	1	Mary Hungate	1726	
1914	1	Miss Montgomery	1772	
1914	2	Mary Shuttleworth	1784	
1917	1		before 1739	
1925	1	Constance Moyser		
1927	1	6th B. Gerard of Gerard's Bromley		
1932	1	Charles Abbot	1796	
1933	1	Agnes Osborne	1753	
1946	1	Maria Eardley Wilmot	1766	
1948	1	Barbara Petre		
1948	2	Barbara Throckmorton		
1948	3	Frances Stonor		
1954	1	Miss Mesmene		
1966	1	Ldy. Augusta Hay	1788	
1966	2	Julia Sinclair	1824	
1967	1	Willielma Maxwell	1761	
1064	1	Mary Gumley	before 1732	
1982	1	Ldy. Barbara Bentinck	1734	
1982	2	Ldy. Anne Fitzwilliam	1747	
1984	1		1796	
1990	1	Philippia Vanbrugh	1734	
2003	1	Jane Maxwell	1767	
2003	2	Jane Christie	1820	
2006	1	3rd D. of Gordon [S]		
2006	2	Staats Long Morris	1756	
2013	1	William Beckford of Fonthill	1783	
2017	1	housekeeper		his
2018	1	Hon. Frances Ingram-Shepheard	1781	
2020	1	Mary Cockerell		
2021	1	3rd Earl Cowper	1775	
2026	1	Henrietta Robinson	1774	
2037	1	Elizabeth Sutherland	1785	
2038	1	Ldy. Evelyn Leveson-Gower	1744	
2042	1	Hon. Anne Liddell	1756	
2042	2	Elizabeth Wrottesley	1769	
2043	1	Ldy. Henrietta Somerset	1713	
2045	1	Ldy. Catherine Stewart	1785	
2046	1	Ldy. Jemima Ashburnham	1785	
2046	2	Ldy. Caroline Montagu	1790	
2051	1	Hon. Mary Cathcart	1774	
2056	1	Ldy. Frances Seymour	1750	
2057	1	Ldy. Gertrude Seymour Conway	1772	
2061	1	Jean Duff	1763	
2082	1	Elizabeth Camplin		
2085	1	Ann Greatheed	1780	his cos.
2103	1	Ldy. Mary Nugent	1775	
2104	1	Margaret Banks	1757	
2105	1	Anne Chambers	1737	
2106	1	Hon. Anne Pitt	1792	
2111	1	Ldy. Charlotte Bentinck	1793	
2112	1	Frances Macartney	1734	
2113	1	Georgiana Peachey	1771	
2113	2	Henrietta Vernon	1776	
2115	1	Hon. Mary Ponsonby	1794	
2116	1	Ldy. Henrietta Bentinck	1763	
2117	1	Henrietta Wemyss Charteris	1797	
2118	1	Elizabeth Bandling	1777	
2121	1	Eleanor Assheton	1769	
2128	1	Harriot Walter	1774	
2129	1		1770	
2131	1	Frances Legard	1780	
2135	1	Jane Wyndham	1708	
2135	2	Diana Warburton	1724	
2142	1	Ldy. Louisa Thynne	1781	
2147	1	Jane Saunders	1732	
2148	1	Elizabeth Wright	1770	
2152	1	Anne Mack	1789	
2163	1	Mary Holt	1750	
2163	2	Anne Gascoigne	1786	
2164	1	Charlotte Baird	1782	
2165	1	Isabella Pocock	1759	
2166	1	William Combe	1795	
2169	1	Richard Cosway	1781	
2173	1	Elizabeth Middleton	1721	
2174	1	Frances Smythe		
2176	1	Mary Silvertop	1754	
2188	1	Ldy. Helen Douglas	1786	
2189	1	Magdalen Pringle	1759	
2201	1	Ldy. Harriet Stewart	1765	
2202	1	Agnes Cockburn		
2202	2	Agnes Cockburn		
2202	3	Frances		
2203	1	Elizabeth Burrell	1778	
2205	1	Sir William Hamilton	1791	
2209	1	Mary		
2210	1	Ldy. Harriet Bentinck	1728	
2211	1	Anne Cochrane	1723	
2211	2	Elizabeth Strangways	1727	
2211	3	Anne Spencer	1737	
2212	1	Elizabeth Gunning	1752	
2219	1	Catherine Barlow	1758	
2219	2	Emma Hart	1791	
2228	1	Arabella Williams	1762	
2236	1	Catherine Graeme	1768	
2236	2	Jane Brown	1805	
2239	1	Ann Price		
2242	1	Ldy. Isabella Bennet	1698	
2243	1	Ldy. Catherine Perceval	1733	
2248	1	Elizabeth Evelyn		
2249	1	Rebecca Le Bas	1735	
2255	1	Hannah Hume	1774	
2257	1	Georgiana Shipley	1785	
2257	2		1807	
2258	1	Francis Hare-Naylor	1785	
2262	1	Susanna Reynold	1749	
2265	1	Ldy. Frances Greville	1762	
